Index,DigiKey Part #,Manufacturer Part Number,Description,Customer Reference,Quantity,Backorder,Unit Price,Extended Price
1,296-TPSM82902SISRCT-ND,TPSM82902SISR,"3-V TO 17-V, 2-A HIGH EFFICIENCY",,12,0,$3.67800,$44.14
2,SSM3K376RLFCT-ND,"SSM3K376R,LF",MOSFET N-CH 30V 4A SOT23F,,24,0,$0.28900,$6.94
3,SAM1148-14-ND,SSM-114-L-SV,CONN RCPT 14POS 0.1 GOLD SMD,,6,0,$4.18000,$25.08
4,1866-2119-ND,GST280A12-C6P,AC/DC DESKTOP ADAPTER 12V 252W,,1,0,$100.49000,$100.49
5,WM3802-ND,0039281063,CONN HEADER VERT 6POS 4.2MM,,5,0,$1.19000,$5.95
6,445-14560-1-ND,C2012X7S1A226M125AC,CAP CER 22UF 10V X7S 0805,,10,0,$0.46200,$4.62
7,754-AA1608ZGSK-10MAVCT-ND,AA1608ZGSK-10MAV,LED GREEN CLEAR 0603 SMD,,20,0,$0.33200,$6.64
8,754-AA1608QBS/D-10MAVCT-ND,AA1608QBS/D-10MAV,LED BLUE CLEAR 0603 SMD,,20,0,$0.31500,$6.30
9,754-AA1608SYSKCT-ND,AA1608SYSK,LED YELLOW CLEAR 0603 SMD,,20,0,$0.31500,$6.30
10,754-AA1608SURSKCT-ND,AA1608SURSK,LED RED CLEAR 0603 SMD,,20,0,$0.31500,$6.30
11,A132515-ND,2301845-2,CONN D-SUB RCPT 15POS R/A SLDR,,3,0,$4.91000,$14.73
12,A35139-ND,5788801-1,CONN D-SUB RCPT 25POS R/A SLDR,,3,0,$8.04000,$24.12
13,36-5015CT-ND,5015,PC TEST POINT MINIATURE,,40,0,$0.36840,$14.74
14,1568-DEV-16997-ND,DEV-16997,TEENSY 4.0 (HEADERS),,2,0,$28.50000,$57.00
15,SM-42TX104CT-ND,SM-42TX104,TRIMMER 100K OHM 0.25W GW TOP,,15,0,$3.87400,$58.11
16,1276-1102-1-ND,CL10A105KA8NNNC,CAP CER 1UF 25V X5R 0603,,50,0,$0.01700,$0.85
17,399-C0603C103K3RAC7867CT-ND,C0603C103K3RAC7867,CAP CER 10000PF 25V X7R 0603,,100,0,$0.02630,$2.63
18,13-RC0603FR-10499RLCT-ND,RC0603FR-10499RL,RES 499 OHM 1% 1/10W 0603,,50,0,$0.01120,$0.56
19,RMCF0603FT10K0CT-ND,RMCF0603FT10K0,RES 10K OHM 1% 1/10W 0603,,100,0,$0.00750,$0.75
20,311-15.0KHRCT-ND,RC0603FR-0715KL,RES 15K OHM 1% 1/10W 0603,,100,0,$0.00930,$0.93
21,311-1.00KHRCT-ND,RC0603FR-071KL,RES 1K OHM 1% 1/10W 0603,,50,0,$0.01120,$0.56
22,P24.9KHCT-ND,ERJ-3EKF2492V,RES SMD 24.9K OHM 1% 1/10W 0603,,50,0,$0.01940,$0.97
23,RL12S.10FCT-ND,RL1220S-R10-F,RES 0.1 OHM 1% 1/3W 0805,,50,0,$0.13180,$6.59
24,1276-1096-1-ND,CL21A106KOQNNNE,CAP CER 10UF 16V X5R 0805,,10,0,$0.07000,$0.70
25,2057-DA15-PT-2-ND,DA15-PT-2,CONN D-SUB PLUG 15POS VERT WW,,2,0,$3.13000,$6.26
26,3625MA-ND,172-025-142R021,CONN D-SUB PLUG 25POS PNL MNT WW,,2,0,$10.95000,$21.90
,,,,,,,Subtotal,$424.16
